original_column,nr_of_occurrences,demo_values,llm description (sap gpt4turbo ([LLM Outputs.xlsx]llm sap cleaned gpt4turbo)),Informative Value,Link to data typ,Formula used for first draft
Short Text (TXZ01),3,"CCM Product 21,Тестирование прослеживаемости,Пример Материала партии,Atul's EWM M1,$$POAC_FERT,Lean Service,gen art, BLU, S, 30,Test SPED Scenario_INTER c, BLUE, Medium,Filter Pleats",Contains a brief description or name of the material or service being purchased.,direct,Ambiguous,not found
Text (SGTXT),1,"Reference Segment Text,Reference Segment Text,Reference Segment Text","Provides additional information about the transaction, such as goods or services descriptions, which can be used for clarification or reporting purposes",direct,Ambiguous,
Description (MAKTX),1,"JP Leading Product COJ010,leading product for test,Tie","Textual description of materials or products, giving details such as name, specifications, and size.",direct,Ambiguous,
Conf. error w. GM (COGI_ERROR),1,"X,X,X",Records errors in goods movement confirmation which can cause delays and additional resource consumption,indirect,Ambiguous,
Value in EUR (MV_MONVALUE_CONVERTED),9,"7500.0,517.5,805.7,892269.7865925,79067.78998,8673.85,None,None,None,200,10,100,10000.0,10260.98,7000.0,400.0,600.0,1190.0,None,None,None,0,0,0,470.0,65.0,-2.55","The monetary value of the transaction or material converted into euros, which could be values like 100, 500, etc.",direct,"Amounts, Values & Units",
Net Value (NETWR),4,"24871.99,9062624.4,1050.0,50.0,7000.0,1112.0,0.0,0.0,0.0,330.0,-1.81,1.0","Represents the monetary value of transactions, in the local currency like '5000.00' for the net price.",direct,"Amounts, Values & Units",
Safety Stock (EISBE),4,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.212,5.0,9.967",Indicates the minimum quantity of stock to be maintained for a material to prevent stockouts,direct,"Amounts, Values & Units",
Currency (WAERS),3,"GBP,RUB,USD,EUR,USD,EUR,EUR,USD,EUR","Represents the currency used in the financial transactions, like USD or EUR.",direct,"Amounts, Values & Units",
Order Unit (MEINS),3,"BU,EA,ST,STD,EA,KG,EA,EA,EA","The unit of measure for the items ordered, like KG for kilograms, L for liters.",direct,"Amounts, Values & Units",
Backlog purch. order (BL_PURCH_ORD),2,"0,39,36,7,56,32","Indicates the backlog purchase orders, values could represent the number of orders pending beyond their expected delivery date.",direct,"Amounts, Values & Units",
Backlog purch. req. (BL_PURCH_REQ),2,"6,9,8,7,1,158","The quantity of purchase requisitions that are backlogged,  this is typically a numerical value",direct,"Amounts, Values & Units",
Base Unit (MEINS),2,"None,None,None,ST,TO,KG","Stores the base unit of measure for materials, such as 'KG' for kilograms or 'L' for liters, which is used across transactions.",direct,"Amounts, Values & Units",
BL manuf. orders (BL_MANUF_ORDERS),2,"0,99,99,14,0,3",Number of batch level manufacturing orders,direct,"Amounts, Values & Units",
Delivery Qty (LFIMG),2,"2.0,10.0,1.0,10.0,2.0,900.0","This column stores the quantity of goods that have been delivered,  values are typically numerical",direct,"Amounts, Values & Units",
Doc. Currency (WAERK),2,"EUR,EUR,EUR,INR,EUR,CHF","Shows the document currency for transactions, such as 'USD' or 'EUR'.",direct,"Amounts, Values & Units",
Goods Receipt Qty. (GR_AMOUNT),2,"2.0,30.0,3.0,0.0,150.0,1000.0","Quantity of goods received, typically measured in units or kilograms",direct,"Amounts, Values & Units",
Invoice Qty. (IV_AMOUNT),2,"1.0,90.0,5.0,150.0,0.0,1000.0","Quantity of items invoiced, usually expressed in units or pieces",direct,"Amounts, Values & Units",
Invoice Value (IR_VALUE),2,"1450.0,1200007.5,1393.2,0.0,1500.0,10000.0","Total monetary value of the invoice, expressed in currency units",direct,"Amounts, Values & Units",
Net Price (NETPR),2,"10.0,122.96,139.32,10.0,556.0,556.0","The price after deducting any discounts or rebates, represented in the document’s currency.",direct,"Amounts, Values & Units",
Open manuf. orders (OPEN_MANUF_ORDERS),2,"2,0,3,0,1,1","Number of manufacturing orders that are currently open and not completed,  data is usually a numerical count",direct,"Amounts, Values & Units",
Open purch. orders (OPEN_PURCH_ORD),2,"0,1,2,0,2,16","Contains the number of currently open purchase orders, which indicates pending transactions.",direct,"Amounts, Values & Units",
PO Quantity (MENGE),2,"1000.0,150.0,200.0,2.0,700.0,20.0",Quantity of the material ordered in the purchase order.,direct,"Amounts, Values & Units",
Price Unit (PEINH),2,"1,1,1,1,1,1","The quantity of the material for which the price applies, used as a basis for pricing in purchasing documents.",direct,"Amounts, Values & Units",
Sales Unit (VRKME),2,"KG,EA,EA,EA,KAR,ST","The sales unit column holds the unit of measure for products in sales documents, potential values include 'PCS' for pieces, 'KG' for kilograms, etc.",direct,"Amounts, Values & Units",
Scheduled Qty (MENGE),2,"2.0,3.0,1.0,4.0,2.0,10.0","Shows the quantity of items ordered or scheduled for delivery, including units of measure.",direct,"Amounts, Values & Units",
Unrestricted (LABST),2,"1193.0,10392.0,199961.0,35149.0,399920.0,1867.0","The amount of stock that is free for use and not earmarked for any restriction,  values are numerical quantities",direct,"Amounts, Values & Units",
Amount in LC (DMBTR),1,"400.0,1190.0,60000.0","Shows the transaction amount in the local currency, which directly affects financial statements and reporting",direct,"Amounts, Values & Units",
Base quantity (BASMG),1,"0.0,0.0,0.0",Standard quantity used to compare against actual production to determine efficiency or variance.,direct,"Amounts, Values & Units",
Base Unit (GMEIN),1,"PAL,EA,CM","Base Unit typically indicates the basic unit of measure used for inventory and production, such as 'KG' for kilograms, 'L' for liters.",direct,"Amounts, Values & Units",
CD Amount (WSKTO),1,"4.0,1.0,5.0","Cash discount amount, representing a reduction in invoice amount if a payment is made before a certain date  expressed in currency value.",direct,"Amounts, Values & Units",
CD Percentage 1 (ZBD1P),1,"0.0,3.0,0.0",The first level percentage for a cash discount offered to promote early payment of an invoice.,direct,"Amounts, Values & Units",
CD Percentage 2 (ZBD2P),1,"0.0,1.0,2.0",The second potential cash discount offered as a percent that could be applied under certain payment conditions.,direct,"Amounts, Values & Units",
Committed Qty (MNG02),1,"200.0,0.0,3.0","Refers to the quantity committed to a customer or project, which may not yet be delivered or issued but is allocated or reserved.",direct,"Amounts, Values & Units",
Confirmed Qty (BMENG),1,"50.0,10.0,150.0","The quantity confirmed available for delivery, usually expressed in a unit of measure relevant to the product.",direct,"Amounts, Values & Units",
Confirmed Scrap (IASMG),1,"0.0,1.0,0.0",Confirmed Scrap quantity stands for the amount of material confirmed as waste or scrap after production.,direct,"Amounts, Values & Units",
Currency (WAERS_T001),1,"EUR,EUR,EUR","Currency represents the currency code for financial transactions within SAP, such as 'USD' for US Dollar or 'EUR' for Euro.",direct,"Amounts, Values & Units",
Del. Quantity (MENGE_DEL),1,"0.0,4.0,3.0","The quantity of goods that have been delivered,  potential values might be numerical values representing the amount of products.",direct,"Amounts, Values & Units",
Delivered (WEMNG),1,"3.0,10.0,0.0","Holds the amount actually delivered for a purchase order item, usually a numeric value such as weight or volume.",direct,"Amounts, Values & Units",
GI Quantity (MENGE_GI),1,"15.0,0.0,1.0","The quantity of goods issued (GI), which may include units measured by weight, volume, etc.",direct,"Amounts, Values & Units",
Goods Receipt Value (GR_VALUE),1,"1000.0,37.9,5.94","The total monetary value of the goods receipt, potential values could be any numerical amount in local currency.",direct,"Amounts, Values & Units",
GR Quantity (MENGE_GR),1,"22.0,2.0,0.0","The quantity of goods that have been received, in the unit of measure for the product, numerical values.",direct,"Amounts, Values & Units",
GR Quantity (WEMNG),1,"2.0,4.0,0.0","GR Quantity stands for Goods Receipt Quantity, the amount of goods received or accepted, typically representing completed production in the system.",direct,"Amounts, Values & Units",
GR Value (GR_VALUE),1,"11000.0,1500.0,0.0","Stores the financial value associated with the goods receipt, can be a monetary amount.",direct,"Amounts, Values & Units",
IR Quantity (MENGE_IR),1,"23.0,0.0,23.0","The quantity of goods received or invoice received, measured in the product's unit of measure  the values could be numerical quantities.",direct,"Amounts, Values & Units",
Issued (WAMNG),1,"4.0,3.0,1.0","Represents the quantity of goods that have been issued or dispatched, which like received quantities, could be in various unit measures.",direct,"Amounts, Values & Units",
Last ref. quantity (RFMNG),1,"2.0,40.0,1.0","This field stores the quantity referenced in the last document in relation to the current one, used in logistics and material management",direct,"Amounts, Values & Units",
Local Currency (HWAER),1,"CNY,EUR,GBP","Specifies the local currency for the transaction, which might be important for converting financial data across different currencies for multinational companies",direct,"Amounts, Values & Units",
No. del. per SO it (NO_DEL),1,"2,20,25","The number of deliveries per sales order item, a numerical value",direct,"Amounts, Values & Units",
No. GR per PO item (GR_POSTED),1,"0,1,2","Represents the number of goods receipts posted per purchase order item, generally a numerical value.",direct,"Amounts, Values & Units",
No. IR per PO item (IR_POSTED),1,"1,0,0","The number of invoice receipts posted for a particular purchase order item, indicating the volume of transactions.",direct,"Amounts, Values & Units",
Order Quantity (KWMENG),1,"2.0,38.0,500.0",The amount of product ordered by the customer  usually expressed in the product's unit of measure.,direct,"Amounts, Values & Units",
Order Quantity (PGMNG),1,"2.0,0.0,2.0","The quantity of materials ordered, which might be shown in units or kilograms.",direct,"Amounts, Values & Units",
Order Quantity (WMENG),1,"28.0,20.0,1000000000.0","The quantity of goods ordered, often expressed in the unit of measure for the product.",direct,"Amounts, Values & Units",
Order Un (AMEIN),1,"None,None,None"," is the unit of measure for the ordered quantity, such as kilograms, liters, or pieces",direct,"Amounts, Values & Units",
Planned Scrap (PSAMG),1,"0.0,1.0,1.0",Planned Scrap quantity signifies the amount of material expected to be wasted or scrapped during production planning.,direct,"Amounts, Values & Units",
Qty.f.avail.chk (VMENG),1,"2.0,10.0,4.0","Quantity available for confirmation against an order, could indicate units ready for shipment or further processing.",direct,"Amounts, Values & Units",
Quan. Delivery (GLMNG),1,"2.0,0.0,1.0","The quantity of goods intended for delivery, can differ from what is actually received due to various factors like damage or loss.",direct,"Amounts, Values & Units",
Quan. Received (WEMNG),1,"22.0,2.0,0.0","Measures the quantity of goods received in a delivery, often indicated in units relevant to the materials in question.",direct,"Amounts, Values & Units",
Quantity (MENGE_PR),1,"None,None,None",The quantity column indicates the amount of items or volume required in the procurement process.,direct,"Amounts, Values & Units",
Quantity (MENGE),1,"0.0,1.0,3.0",Quantity represents the number of units involved in the transaction,direct,"Amounts, Values & Units",
Quantity in UnE (ERFMG),1,"3.0,1.0,0.0","The actual quantity of materials in the unit of entry, crucial for inventory and production management",direct,"Amounts, Values & Units",
Reqmt Qty (BDMNG),1,"12.0,11.0,0.01","The quantity of materials required for production or processing, could be measured in units, kg, liters, etc.",direct,"Amounts, Values & Units",
SD. Invoice Quantity (RFMNG_INV),1,"0.0,0.0,0.0","The quantity of goods or services invoiced in Sales and Distribution, which could be in units like litres, kilograms, hours worked, etc.",direct,"Amounts, Values & Units",
Target Quantity (GAMNG),1,"100.0,1.0,9.0","Quantity to be produced or processed, e.g., number of units for a manufacturing order.",direct,"Amounts, Values & Units",
Total Quantity (PSMNG),1,"3.0,0.0,0.0","Total Quantity may refer to the total amount of goods produced or required in a process, measured in the Base Unit of measure.",direct,"Amounts, Values & Units",
Unit (GI) (MEINS_MSEG),1,"ST,ST,ST","Unit refers to the measurement unit for the quantity (e.g., pieces, liters, kilograms)",direct,"Amounts, Values & Units",
Unit of Entry (ERFME),1,"ST,ST,ST","Specifies the unit of measure for materials entries in the system, such as kilograms or liters",direct,"Amounts, Values & Units",
Unit of Measure (MEINS_PR),1,"None,None,None",The unit of measure in which the material or service is managed,direct,"Amounts, Values & Units",
Unpl. goods issue (UNPLANNED_GI),1,"X,X,X","Records goods issues that were not planned in advance, which may include quantity and type of material",direct,"Amounts, Values & Units",
Value (VALUE),1,"155.25,3750.0,0.0",Value typically represents a monetary amount associated with a transaction or a set of transactions within the business process.,direct,"Amounts, Values & Units",
Withdr. Value (ENWRT),1,"0.0,30.0,100.0","The total value, often in currency, of materials withdrawn for an order,  this relates to the cost aspect of material use.",direct,"Amounts, Values & Units",
Withdrawal Qty (ENMNG),1,"2.0,1.0,0.0",The quantity of materials taken from inventory for use in production  could be measured in units or volume.,direct,"Amounts, Values & Units",
Created On (ERDAT),4,"2021-02-09,2021-02-24,2021-05-27,2022-07-15,2022-07-25,2022-07-12,2022-05-11,2022-01-01,2022-05-13,2021-01-05,2021-01-07,2021-03-19","The date an entry is made in the system, typically in the format 'YYYY-MM-DD'.",direct,Dates & Timestamps,
GR Proc. Time (WEBAZ),4,"0,1,1,None,None,None,1,0,1,10,3,0","Goods Receipt Processing Time in days, indicating the duration between ordering and receiving goods.",direct,Dates & Timestamps,
Document Date (BLDAT),3,"2022-07-12,2022-07-25,2022-07-01,2022-05-11,2022-05-16,2022-05-10,2017-03-23,2021-04-20,2017-04-04",The date when the document (such as an invoice or purchase order) was posted in the system,direct,Dates & Timestamps,
Planned Gds Mvmt (WADAT),3,"None,None,None,None,None,None,2021-01-14,2021-04-03,2021-03-15","The planned goods movement date, indicating when materials are expected to move in or out of stock",direct,Dates & Timestamps,
Actual GI Date (WADAT_IST),2,"2022-06-29,2022-07-01,2022-07-25,2021-05-21,2021-04-05,2021-01-04","Date goods issue (GI) actually occurred, typically in the format YYYYMMDD",direct,Dates & Timestamps,
Actual release (FTRMI),2,"2021-02-08,2021-05-27,2021-03-23,2022-05-13,2022-05-16,2022-05-09","The actual date when a financial transaction is released for execution, formatted as YYYYMMDD.",direct,Dates & Timestamps,
Changed On (AEDAT),2,"None,None,None,2021-04-01,2021-04-20,2021-03-26","Date the record was last modified, typically YYYY-MM-DD",direct,Dates & Timestamps,
Created on (Header) (AEDAT_H),2,"2021-10-07,2021-10-06,2021-09-30,2021-09-23,2021-02-27,2021-09-15","Date the entire document or transaction was created, format is usually YYYYMMDD.",direct,Dates & Timestamps,
Created on (Item) (AEDAT),2,"2021-10-20,2021-10-06,2021-09-27,2021-09-24,2021-09-16,2021-09-29","Date the individual item was created, format is typically YYYYMMDD.",direct,Dates & Timestamps,
Current Period (LFMON),2,"4,5,3,0,3,1","The current accounting period in the fiscal year, typically a month, expressed in numbers (e.g., 01 for January)",direct,Dates & Timestamps,
Earliest manuf.date (DGLTS_OPEN_MANUF),2,"2022-05-20,2022-05-20,2022-05-20,None,None,None","The earliest date a manufacturing order was placed, likely in YYYY-MM-DD format",direct,Dates & Timestamps,
Entered On (CPUDT),2,"2022-05-17,2022-05-10,2022-05-14,2021-03-27,2017-05-14,2017-04-03","The date on which an entry was recorded in the system, denotes when information was entered, formatted as YYYYMMDD.",direct,Dates & Timestamps,
GR Creation Date (GR_CPUDT),2,"2021-10-08,2021-09-30,2021-10-15,2021-10-12,2021-02-27,2021-09-12",Date when the goods receipt was posted in the system,direct,Dates & Timestamps,
GR Year (GR_MJAHR),2,"0,2021,2021,0,2021,2021",Calendar year in which the goods receipt was posted,direct,Dates & Timestamps,
IR: Year (IR_MJAHR),2,"2021,0,2021,0,2021,2021","Fiscal year of the invoice receipt, which can help in identifying the accounting period.",direct,Dates & Timestamps,
Oldest 'LA' date (PEDTR_LA),2,"2022-05-05,2022-05-05,2022-05-05,2022-04-07,2019-12-05,2021-11-04","Oldest logistics application date, potentially reflecting the date format YYYY-MM-DD",direct,Dates & Timestamps,
Oldest manuf.date (DGLTS_BL_MANUF),2,"2021-07-12,2021-07-12,2021-07-12,2020-05-20,2021-01-11,2019-12-17","The oldest manufacturing date, which could be in a format such as YYYY-MM-DD",direct,Dates & Timestamps,
Oldest PO del.date (EINDT_BL_PURCH_ORD),2,"2020-09-07,2022-01-11,2019-10-11,2020-03-21,2019-09-17,2018-01-05","The delivery date for the oldest backlogged purchase order, indicates when goods or services are expected to be delivered.",direct,Dates & Timestamps,
Oldest PR rel.date (FRGDT_PURCH_REQ),2,"2022-02-23,2019-09-18,2022-03-01,2018-02-27,2018-05-03,2022-02-18",Holds the release date of the oldest purchase requisition indicating when a purchase request was authorized.,direct,Dates & Timestamps,
Pick Date (KODAT),2,"None,None,None,2021-03-15,2021-04-03,2020-09-22","The date on which items were picked for an order, could be in the format YYYYMMDD, indicating the process's efficiency",direct,Dates & Timestamps,
Pl. Deliv. Time (PLIFZ),2,"None,None,None,None,None,None",Planned number of days from order to delivery,direct,Dates & Timestamps,
Posting Date (BUDAT),2,"2022-05-09,2022-05-17,2022-05-14,2021-03-26,2021-04-14,2018-12-14","Contains the posting date for transactions, showing when the transaction was recorded in the financial accounts.",direct,Dates & Timestamps,
Sched. finish (GLTRS),2,"2021-03-23,2021-05-05,2021-06-30,2022-05-13,2022-05-07,2022-06-01","Scheduled finish date of a process or manufacturing order, in a format such as YYYY-MM-DD",direct,Dates & Timestamps,
Tech.Completion (IDAT2),2,"2021-02-08,2021-02-08,2021-02-08,None,None,None","The date of technical completion of an order or operation, formatted as YYYYMMDD.",direct,Dates & Timestamps,
Year Cur.Period (LFGJA),2,"2021,2022,0,2019,2023,2022","The fiscal year and current period of the company's financial calendar, often used in accounting and finance reports, typically formatted YYYY for the year with period numbers ranging from 01 to 12.",direct,Dates & Timestamps,
Actual start (GSTRI),1,"2021-02-07,2021-02-08,2021-03-24",logs the real-time date when an order or operation begins,direct,Dates & Timestamps,
Baseline Date (ZFBDT),1,"2021-04-20,2021-04-01,2021-04-07","Reference date used for payment terms calculation, which could be the document or posting date.",direct,Dates & Timestamps,
Basic Fin. Date (GLTRP),1,"2021-06-30,2021-03-23,2021-04-15",marks the expected completion date for an order or operation,direct,Dates & Timestamps,
Clear. Date (FI-AP) (AUGDT_FIAP),1,"2021-06-18,2021-06-18,2021-06-18","Date on which an invoice was cleared in Financial Accounting - Accounts Payable,  often in YYYYMMDD format",direct,Dates & Timestamps,
Clear. Date (FI-AR) (AUGDT_FIAR),1,"2021-06-20,2021-06-20,2021-06-20","The date on which an account receivable was cleared (balances settled), formatted as a date.",direct,Dates & Timestamps,
Clearing Date (AUGDT),1,"2019-09-26,2021-04-12,2021-02-09","Actual Clearing Date, representing when a particular item or transaction was cleared",direct,Dates & Timestamps,
Clearing Entry Date (CPUDT_AUGBL),1,"2021-03-27,2019-09-16,2017-04-05",Date when the clearing document was entered into the system,direct,Dates & Timestamps,
Clrg Fiscal Yr (AUGGJ),1,"0,2017,2018","Fiscal Year in which the clearing took place, usually in a four-digit year format",direct,Dates & Timestamps,
Conf. Finish Date (GETRI),1,"None,None,None",indicates the actual confirmed date when an order or operation was completed,direct,Dates & Timestamps,
Created (FI-AP) (CPUDT_FIAP),1,"2021-06-29,2021-06-12,2021-06-29","Date of document creation in the financial accounting accounts payable module, often formatted as YYYYMMDD.",direct,Dates & Timestamps,
Created (FI-AR) (CPUDT_FIAR),1,"2021-06-10,2021-06-30,2021-06-30","Date the transaction was created in FI-AR, typically in YYYYMMDD format",direct,Dates & Timestamps,
Created At (ANUZT),1,"0,0,0","This time field, often in HH:MM:SS format, captures the exact time when a record was created.",direct,Dates & Timestamps,
Created On (ANDAT),1,"None,None,None","The date, typically in MM/DD/YYYY format, when the record was created or the transaction was made.",direct,Dates & Timestamps,
Created on (H) (ERDAT_H),1,"2019-12-12,2020-04-30,2021-09-30","Date when the purchasing document was created,  typically formatted YYYY-MM-DD.",direct,Dates & Timestamps,
Created on (I) (ERDAT_I),1,"2021-06-01,2020-03-23,2021-02-18","Date when the sales order was created,  typically formatted YYYY-MM-DD.",direct,Dates & Timestamps,
Days 1 (ZBD1T),1,"0,30,30",The number of days within which the first level of cash discount can be availed by the customer.,direct,Dates & Timestamps,
Days 2 (ZBD2T),1,"60,0,60",The number of days within which the second level of the cash discount can be availed by the customer.,direct,Dates & Timestamps,
Days Net (ZBD3T),1,"90,0,0","The total number of days after the invoice date when the net amount is due, can be a number like 30 or 60 days.",direct,Dates & Timestamps,
Del. entered on (CPUDT_DEL),1,"2021-06-01,2021-07-09,2021-09-03","The date on which the delivery was entered into the system,  potential values could be dates in format YYYY-MM-DD.",direct,Dates & Timestamps,
Delivery created on (CPUTM_DEL),1,"192503.0,192503.0,192503.0","The timestamp for when the delivery was created in the system, which can be used to track delivery efficiency",direct,Dates & Timestamps,
Delivery created on (ERDAT_DEL),1,"2020-02-17,2019-10-21,2020-09-15","The date when the delivery was created, generally in the format YYYYMMDD.",direct,Dates & Timestamps,
Delivery Date (EDATU),1,"2021-03-11,2020-03-04,2019-11-09","The scheduled delivery date for the products, usually in the format YYYYMMDD.",direct,Dates & Timestamps,
Delivery Date (EINDT),1,"2020-10-08,2021-06-30,2021-07-11","The actual date when delivery occurred, formatted as a date field (YYYY-MM-DD for example).",direct,Dates & Timestamps,
Delivery Date (LFDAT),1,"2022-07-01,2022-06-29,2022-07-25","The delivery date is the confirmed or planned date when goods are to be delivered, often in the format YYYYMMDD.",direct,Dates & Timestamps,
Delivery Date (LTRMI),1,"2021-02-07,2021-04-29,2021-02-08",records the actual date goods or services were delivered to a customer,direct,Dates & Timestamps,
Due On (NETDT),1,"2021-04-14,2021-04-07,2018-12-14","The expected date a payment is due or the date a task is expected to be completed, typically in the format YYYY-MM-DD.",direct,Dates & Timestamps,
EaliestPOdeldate (EINDT_OPEN_PURCH_ORD),1,"None,None,None","The earliest delivery date for a purchase order, impacting inventory levels and associated costs",direct,Dates & Timestamps,
Earl.start date (FSAVD),1,"None,None,None","The earliest start date, usually in MM/DD/YYYY format, indicates when an operation can begin at the soonest.",direct,Dates & Timestamps,
Earliest PO del.date (EINDT_OPEN_PURCH_ORD),1,"2025-03-18,2023-03-15,2023-03-13","The earliest date that a purchase order can be delivered, expressed in a date format.",direct,Dates & Timestamps,
FI Year (FI-AP) (GJAHR_FIAP),1,"2021,0,2021","Fiscal year for Accounts Payable transactions, formatted as a four-digit year (e.g., 2023)",direct,Dates & Timestamps,
FI Year (FI-AR) (GJAHR_FIAR),1,"2021,0,0","Fiscal year for Accounts Receivable transactions, formatted as a four-digit year (e.g., 2023)",direct,Dates & Timestamps,
Fiscal Year (GJAHR),1,"202,020,182,019","The financial year for which the transaction is recorded, typically a four-digit year.",direct,Dates & Timestamps,
GI entered at (CPUTM_GI),1,"None,None,None","The exact time goods issue (GI) was recorded in the system, typically in HH:MM:SS format",direct,Dates & Timestamps,
GI entered on (CPUDT_GI),1,"2021-06-30,2021-07-09,2021-06-29","The date on which the goods issue was recorded, usually formatted as YYYYMMDD",direct,Dates & Timestamps,
GI Year (GJAHR_GI),1,"0,2021,0","Fiscal Year in which the Goods Issue was recorded, usually a four-digit year format",direct,Dates & Timestamps,
GR entered at (CPUTM_GR),1,"None,None,None","The time at which the goods receipt was processed in the system, formatted as HH:MM:SS.",direct,Dates & Timestamps,
GR entered on (CPUDT_GR),1,"2021-06-01,2021-08-13,2021-07-09",The date on which the goods receipt was entered into the system.,direct,Dates & Timestamps,
GR pr.time(Mat.) (WEBAZ_MARC),1,"0.0,0.0,0.0","Stores the planned delivery time for materials in days, which reflects the period between ordering and goods receipt.",direct,Dates & Timestamps,
GR Year (GJAHR_GR),1,"2021,0,2021","The fiscal year in which the goods receipt was posted, formatted as a four-digit year.",direct,Dates & Timestamps,
GR: Fiscal Year (GR_GJAHR),1,"2021,0,0","The fiscal year for which the goods receipt is posted, typically a four-digit year like '2023'.",direct,Dates & Timestamps,
GR: GR/IR Clear.Date (GR_AUGDT_GRIR),1,"None,None,None","The date when a goods receipt (GR) is matched and cleared against an invoice receipt (IR) within the GR/IR process, formatted as YYYYMMDD.",direct,Dates & Timestamps,
GR: GR/IR Clear.Year (GR_AUGGJ_GRIR),1,"0,0,0","Year the goods receipt/invoice receipt accounts were cleared, indicates matching of goods/services received with invoice.",direct,Dates & Timestamps,
InhseProdTime (DZEIT),1,"0.0,1.0,1.0","The internal production time, possibly in hours or days, comprising active manufacturing processes.",direct,Dates & Timestamps,
Interoperation (TRANZ),1,"0.0,0.0,0.0","Time or duration between operations or processes, possibly affecting lead times and throughput.",direct,Dates & Timestamps,
