original_column,nr_of_occurrences,demo_values,llm description (sap gpt4turbo ([LLM Outputs.xlsx]llm sap cleaned gpt4turbo)),Informative Value,Link to data typ,Formula used for first draft
IR Creation Date (IR_CPUDT),1,"2021-09-12,2021-02-27,2021-09-12","The date when the invoice receipt (IR) was created in the system, usually a date formatted as YYYYMMDD.",direct,Dates & Timestamps,
IR Document Date (IR_BLDAT),1,"2021-09-30,2021-02-26,2021-09-12","The date the document was posted in the system, which might differ from the actual invoice date, typically in YYYYMMDD format.",direct,Dates & Timestamps,
IR Document Date (IR_CPUDT),1,"2021-09-22,2021-09-30,2021-10-05","The date the Invoice Receipt was posted in the system, in the format YYYYMMDD.",direct,Dates & Timestamps,
IR entered on (CPUDT_IR),1,"2021-06-01,2021-06-01,2021-06-01","Date the Invoice Receipt was recorded, typically in YYYYMMDD format",direct,Dates & Timestamps,
IR: Clearing Date (IR_AUGDT),1,"2021-02-28,2021-02-28,2021-02-28","Date on which an invoice receipt (IR) or payment is matched with its corresponding financial documents, typically formatted as YYYYMMDD.",direct,Dates & Timestamps,
IR: Clearing Year (IR_AUGGJ),1,"0,2021,2021","The year when the clearing (matching an invoice receipt with payment and financial entry) happened, usually a four-digit year number.",direct,Dates & Timestamps,
IR: Fiscal Year (IR_GJAHR),1,"2021,0,2021","Fiscal year in which the financial transaction was recorded, generally a four-digit year number.",direct,Dates & Timestamps,
IR: GR/IR Clear.Date (IR_AUGDT_GRIR),1,"2021-04-30,2021-04-30,2021-04-30","Date when the invoice receipt and goods receipt are cleared, often formatted as YYYYMMDD.",direct,Dates & Timestamps,
IR: GR/IR Clear.Year (IR_AUGGJ_GRIR),1,"2021,0,0",The fiscal year in which the invoice receipt and goods receipt are cleared.,direct,Dates & Timestamps,
IR: Year (GJAHR_IR),1,"0,2021,2021","The fiscal year in which the invoice receipt was recorded, formatted as a four-digit year.",direct,Dates & Timestamps,
Last insuff.stock (LAST_STOCK_ERROR_DATE),1,"2019-09-23,2019-09-23,2019-09-23","The most recent date when inventory was insufficient, typically in the format YYYYMMDD.",direct,Dates & Timestamps,
Mat. Doc. Year (MJAHR),1,"2022,0,2022","Fiscal year in which the material document was posted,  usually a four-digit year",direct,Dates & Timestamps,
Mat.Avail.Date (MBDAT),1,"2020-03-09,2020-01-14,2020-02-13","Date when the material becomes or became available, expressed in a date format.",direct,Dates & Timestamps,
Planned Delivery (LTRMP),1,"2021-05-26,2021-05-26,2021-05-26",indicates the date when goods or services are scheduled to be delivered to a customer,direct,Dates & Timestamps,
Planned Order (PLNUM),1,"1529619.0,1521290.0,1521290.0",is a unique identifier for a planned order in the production or procurement process,direct,Dates & Timestamps,
Plnd Deliv (Mat.) (PLIFZ_MARC),1,"None,None,None","Represents the planned delivery time in days, which indicates the time buffer for material replenishment.",direct,Dates & Timestamps,
Plnd Dely (PR) (PLIFZ_PR),1,"None,None,None",Expected or planned delivery time in days for purchase requisitions.,direct,Dates & Timestamps,
Plnd Open. Date (ETRMP),1,"2021-04-27,2021-05-22,2021-05-22","The planned opening date, often in MM/DD/YYYY format, reflects when a process is scheduled to begin.",direct,Dates & Timestamps,
Plnd Start Date (STRMP),1,"None,None,None",refers to the scheduled date to begin the execution of an order or operation,direct,Dates & Timestamps,
PO Delivery Date (EINDT),1,"2021-10-05,2021-10-07,2021-10-11","Represents the scheduled delivery date for purchase orders, given in a YYYYMMDD format.",direct,Dates & Timestamps,
PR Delivery Date (LFDAT),1,"None,None,None","Likely similar to Delivery Date (LFDAT), it represents when the delivery of goods should arrive based on a purchase requisition.",direct,Dates & Timestamps,
Processing time (BEARZ),1,"0.0,0.0,0.0",records the duration taken to complete a specific task or operation within the business process,direct,Dates & Timestamps,
PurchOrderDate (BEDAT),1,"2021-07-09,2021-07-13,2021-09-03","The date the purchase order was made, indicating how long the order process takes from start to finish.",direct,Dates & Timestamps,
Release date (CMFRE),1,"None,None,None","This is the date when a document, such as a purchase order, is approved or released for further processing.",direct,Dates & Timestamps,
Release Date (FRGDT),1,"None,None,None",The date when a purchase requisition was released or approved,direct,Dates & Timestamps,
Release Date (UDATE_RELEASE),1,"2021-04-01,2021-06-06,2020-11-04","The date when the document or transaction was released for further processing or execution,  potential values may include specific dates in the format YYYY-MM-DD.",direct,Dates & Timestamps,
Reqmt Date (BDTER),1,"2022-05-19,2022-05-17,2022-05-11","Date by which the material is required,  usually in the format YYYYMMDD",direct,Dates & Timestamps,
Requisn Date (BADAT),1,"None,None,None","The date the purchase requisition was created or the request was made, often in the format YYYYMMDD.",direct,Dates & Timestamps,
Sched. itm del. date (EINDT),1,"2022-07-01,2022-07-12,2022-07-25","Stores the scheduled item delivery date, typically in a date format (YYYY-MM-DD).",direct,Dates & Timestamps,
SD Inv. created at (ERZET_INV),1,"None,None,None",The exact timestamp (date and time) when the invoice was created in the Sales and Distribution module.,direct,Dates & Timestamps,
SD Inv. created on (ERDAT_INV),1,"2021-06-10,2021-06-10,2021-06-10","The date when a sales and distribution (SD) invoice was created, commonly formatted as YYYYMMDD",direct,Dates & Timestamps,
Setup time (RUEZT),1,"0.0,0.0,0.0",Time required to prepare equipment or operations before production begins  this could indicate minutes or hours.,direct,Dates & Timestamps,
Time (UTIME),1,"None,None,None","Contains the timestamp of the business process execution or transaction, usually in the format HH:MM:SS.",direct,Dates & Timestamps,
TO creation date (BDATU),1,"2021-05-21,2021-03-22,2021-01-04","The date when the transfer order is created, usually in date format (YYYY-MM-DD)",direct,Dates & Timestamps,
Transit Time (TRAZTD),1,"None,None,None","Expected duration of transit for the delivered goods, often represented in hours or days.",direct,Dates & Timestamps,
Year (STJAH),1,"0,2021,0","Indicates the fiscal year of the transaction in a YYYY format, such as '2023'.",direct,Dates & Timestamps,
Material Group (MATKL),7,"1,1,1,1,1,1,02,001,000000001,01,AG1-ROH,AG1-ROH,BS_MATGR,0001,FERT_0001,1,2,2,000000001,FSH03,006",This column stores the material group to which the specific material belongs.,indirect,Status & Indicators,
Material Type (MTART),6,"HALB,HALB,HALB,HALB,HAWA,VKHM,HAWA,HAWA,HAWA,ROH,FERT,SERV,HALB,MODE,FERT,HAWA,ROH,HALB","The category defining the type of material, which could be codes representing 'Finished Products', 'Raw Materials', etc.",indirect,Status & Indicators,
Special Stock (SOBKZ),5,"E,E,E,None,None,None,Q,Q,Q,P,E,P,Q,Q,Q","Indicates the ownership status of the stock, with potential values like 'E' for consignment or 'Q' for project stock.",indirect,Status & Indicators,
Business Area (GSBER),4,"F001,F001,F001,None,None,None,1.0,1.0,1.0,1,1,1","A unique code that denotes the specific business area within an organization, such as sales, finance or logistics",indirect,Status & Indicators,
Deliv. Compl. (ELIKZ),4,"X,X,X,X,X,X,X,X,X,X,X,X","Indicates whether delivery is completed, with a value like 'X' for complete.",indirect,Status & Indicators,
Doc. Category (BSTYP),4,"F,F,F,F,F,F,F,F,F,F,F,F","Specifies the type of purchasing document (e.g., purchase order, contract)",indirect,Status & Indicators,
Lot Sizing Procedure (DISLS),4,"EX,EX,EX,None,None,None,EX,FX,FX,EX,MB,Z6","Defines how lot sizes are calculated, with values like 'HB' for reorder point planning.",indirect,Status & Indicators,
MRP Type (DISMM),4,"ZD,ZD,ZD,ND,ND,ND,ND,PD,PD,PD,ND,X0","Describes the material requirements planning (MRP) procedure that determines how a material is planned (e.g., re-order point planning, forecast-based planning)",indirect,Status & Indicators,
Profit Center (KO_PRCTR),3,"PC01,PC00,0000001000,PC_01,PC_02,PC_01,SAP-DUMMY,SAP-DUMMY,SAP-DUMMY",The organizational unit in controlling that reflects a management-oriented structure for profit analysis.,indirect,Status & Indicators,
Acct Assgmt Cat (KNTTP),3,"F,A,K,K,F,K,F,F,F","Determines the type of account assignment like 'Cost Center', 'Sales Order', 'Project' which specifies the cost bearing object.",indirect,Status & Indicators,
Bus.area:prtner (KO_GSBER),3,"None,None,None,None,None,None,None,None,None","The business area responsible for financial transactions, possibly indicating responsibility centers.",indirect,Status & Indicators,
Division (SPART),3,"None,None,None,0,1,0,00,S3,60",Represents a product or service division within a company.,indirect,Status & Indicators,
Document Type (BSART),3,"NB,NB,NB,NB,NB,NB,NBC3,NB,NBCR","Indicates the type of purchasing document, e.g. 'NB' for standard purchase order.",indirect,Status & Indicators,
Incoterms (INCO1),3,"None,None,None,None,None,None,CFR,FH,CIF","Refers to the terms of delivery and payment between trading partners as defined by Incoterms, which can influence cost distribution and transportation methods",indirect,Status & Indicators,
Item Category (PSTYP),3,"0,0,0,0,0,0,0,0,0","Represents the type of item in a purchasing document, with values like 'Standard', 'Subcontracting', 'Consignment', 'Stock Transfer'.",indirect,Status & Indicators,
Item Category (PSTYV),3,"ELLR,ELN,ELLR,TAN,TANQ,TAN,BVN,TAN,TALS","Defines the item category in purchasing documents, determines the process of a purchasing item, like standard (NORM) or subcontracting (SUBC).",indirect,Status & Indicators,
Sales Org. (VKORG),3,"1.0,1.0,1.0,1,1,1,S002,TM33,AG01","Refers to the sales organization within a company, which is responsible for distributing goods and services",indirect,Status & Indicators,
Prec.Doc.Categ. (VGTYP),2,"V,V,V,C,V,C","Defines the preceding document category, such as purchase requisition or request for quotation.",indirect,Status & Indicators,
ABC Indicator (MAABC),2,"None,None,None,A,A,A","Classification of materials for planning and control purposes, based on the ABC analysis, with values A, B, or C.",indirect,Status & Indicators,
Conf. Control (BSTAE),2,"None,None,None,4,9,4",Status regarding the confirmation control features in procurement,indirect,Status & Indicators,
Del. Indicator (LOEKZ),2,"None,None,None,None,None,None","Deletion flag/indicator, signals whether a record is marked for deletion in a database",indirect,Status & Indicators,
Delivery Prior. (LPRIO),2,"None,None,None,None,None,None","Indicates the priority of the delivery of goods, can include values like 'Urgent', 'Normal', 'Low'.",indirect,Status & Indicators,
Delivery Type (LFART),2,"EL,ELR,ELR,TM42,LF,LO","Type of delivery method, which includes the terms of shipping and handling, e.g., standard delivery, express",indirect,Status & Indicators,
DF plant level (LVORM),2,"None,None,None,None,None,None","Flag indicating whether the plant (or storage location within the plant) has been marked for deletion, 'X' usually means it is.",indirect,Status & Indicators,
Distr. Channel (VTWEG),2,"1,1,1,01,OM,S1","Distribution channel through which products are sold, e.g., retail, wholesale, direct sales",indirect,Status & Indicators,
Document Cat. (VBTYP),2,"7,7,7,J,J,J","Represents the document category to identify different business transactions, such as invoices or payments.",indirect,Status & Indicators,
Document Type (BLART),2,"WA,WA,WA,KR,KR,KR","Denotes the document type to categorize accounting documents, values could include 'Invoice', 'Credit Memo', etc.",indirect,Status & Indicators,
Earliest PO category (BSTYP_OPEN_PURCH_ORD),2,"None,None,None,None,None,None","Indicates the category of the earliest open purchase order, such as 'standard PO' or 'subcontracting'",indirect,Status & Indicators,
Earlistordercat (AUTYP_OPEN_MANUF),2,"None,None,None,None,None,None","This likely refers to categories of early manufacturing orders which can dictate production schedules,  values are typically categorical or numerical identifiers",indirect,Status & Indicators,
Final Delivery (EGLKZ),2,"None,None,None,X,X,X","Indicates whether goods have been finally delivered, values include 'X' for delivered.",indirect,Status & Indicators,
Goods Mvmnt Sts (WBSTA),2,"A,C,A,A,C,C","Status of goods movement, indicating stages such as 'not started', 'in process', or 'completed'",indirect,Status & Indicators,
Incompl. reg. GI (UVWAK),2,"C,C,C,A,C,A","Indicates incomplete goods issue registration, typically a binary or status value indicating if an issue is complete.",indirect,Status & Indicators,
Insp.lot from GR (INSP_LOT_GR_EXISTS),2,"X,X,X,X,X,X","Indicates whether an inspection lot from goods receipt exists, typically boolean values (YES/NO).",indirect,Status & Indicators,
Insp.lot w.outst. GR (INSP_LOT_W_OUTST_GR_EXISTS),2,"X,X,X,X,X,X","Indicates whether an inspection lot without goods receipt exists, typically boolean values (YES/NO).",indirect,Status & Indicators,
Movement Type (BWART),2,"262,673,109,601,631,000","Code depicting the type of stock movement, e.g., goods receipt or issue",indirect,Status & Indicators,
Oldest order cat. (AUTYP_BL_MANUF),2,"None,None,None,None,None,None","Refers to the category of the oldest manufacturing order in the system, which can range from custom orders to stock replenishment.",indirect,Status & Indicators,
Oldest PO category (BSTYP_BL_PURCH_ORD),2,"None,None,None,None,None,None","Represents the category of the oldest backlogged purchase order, similar to 'BSTYP_OPEN_PURCH_ORD'.",indirect,Status & Indicators,
Order Type (AUART),2,"PI01,YPO1,PI01,PI01,PI01,PI01","Order type specifies the kind of sales order or transaction,  values might be 'OR' for Standard Order, 'RE' for Returns, etc.",indirect,Status & Indicators,
P-S Mat. Status (MMSTA),2,"99.0,99.0,99.0,None,None,None","Plant-Specific Material Status, indicating the usability stage of the material, e.g., free for use, blocked",indirect,Status & Indicators,
Packing Status (PKSTA),2,"C,B,C,C,A,B","Indicates the status of packaging materials/process in logistics, such as 'packed' or 'not packed'",indirect,Status & Indicators,
Picking Status (KOSTA),2,"None,None,None,C,A,B","Indicates the status of order picking and preparation for shipment,  potential values are 'Not started', 'In progress', 'Completed'",indirect,Status & Indicators,
Proc. State (PROCSTAT),2,"8,5,3,8,2,5","Current processing state of the document or line item, values might include codes for 'open', 'in process', 'closed'.",indirect,Status & Indicators,
Procurement (BESKZ),2,"E,F,X,E,X,F","Procurement type, indicating how a material is provided (e.g., in-house production or external procurement).",indirect,Status & Indicators,
Purch. Group (EKGRP),2,"1,AF,2,None,None,None","Purchasing group responsible for procurement activities, can represent a buyer or group of buyers",indirect,Status & Indicators,
Quality Insp. (INSME),2,"0.0,11.0,2.0,0.0,1.0,0.0","Reflects whether items are in quality inspection,  potential statuses could be 'In inspection', 'Passed', 'Failed', etc.",indirect,Status & Indicators,
Release group (FRGGR),2,"Z1,Z1,Z1,Z1,Z1,Z1",Code representing a group of document types requiring similar approval processes.,indirect,Status & Indicators,
Status (STATU),2,"9,9,9,9,R,R","General status of an object, could be the status of a sales order, delivery note, etc., indicating stages like open, in process, completed",indirect,Status & Indicators,
Stock Type (INSMK),2,"X,X,X,X,X,X","Type of stock indicating quality or status, e.g., unrestricted use, in quality inspection, or blocked",indirect,Status & Indicators,
Trans. Group (TRAGR),2,"1,1,1,4,1,3","Transportation group classifies materials or products requiring similar transportation,  this could affect routing and logistical planning",indirect,Status & Indicators,
Transp.Plng Sts (TRSTA),2,"A,A,A,A,C,C","Status reflecting the transportation planning steps, which could be 'not planned', 'planned', 'partially executed', or 'completed'",indirect,Status & Indicators,
WM Activity Sts (LVSTA),2,"C,C,C,A,B,C","Represents the status of activities in the warehouse management system, including picking, packing, and shipment preparation.",indirect,Status & Indicators,
Autom. PO (AUTOMATION),1,"None,None,None","Indicates whether purchase orders are generated automatically, which can streamline procurement processes and improve operational efficiency",direct,Status & Indicators,
Automation (AUTOMATION),1,"M,A,A","Indicates the level of automation in the process with possible values such as 'Manual', 'Semi-automated', or 'Fully automated'",direct,Status & Indicators,
Backflush (RGEKZ),1,"X,X,X","Indicates whether materials are automatically issued (backflushed) to orders, values like 'X' for yes, blank for no.",direct,Status & Indicators,
Cancelled GR (CANCEL_GR),1,"3,1,0","A flag that denotes if the goods receipt has been cancelled, similar to 'X' for cancelled or blank for active.",direct,Status & Indicators,
Cancelled IR (CANCEL_IR),1,"2,0,1","A flag indicating whether the Invoice Receipt has been cancelled, possible values such as 'X' for cancelled or blank for not cancelled.",direct,Status & Indicators,
Debit/Credit (SHKZG),1,"H,H,H","Indicates whether the transaction is a debit (increasing assets/expenses) or credit (increasing liabilities/revenue), affecting balance sheets and income statements",direct,Status & Indicators,
Destin. Type (COTYP),1,"1.0,2.0,2.0","Destination type could represent the kind of entity at the end of a supply chain, like 'Warehouse', 'Customer', or 'Retailer'.",direct,Status & Indicators,
Shipping Conditions (VSBED),1,"1.0,1.0,1.0","Describes the terms under which goods are to be shipped, which can include temperature control or speed of delivery",indirect,Status & Indicators,
Strategy Group (STRGR),1,"Z4,Z4,Z4","The Strategy Group typically represents the business strategies related to the production or procurement of materials, such as 'Make to Stock' or 'Make to Order'.",indirect,Status & Indicators,
Account Group (KTOKD),1,"CUST,CPD,DEBI","The account group determines the role of an account, specifying which fields are mandatory or optional for the customer/vendor master record",indirect,Status & Indicators,
Billing Type (FKART_INV),1,"None,None,None","This is the billing type of the invoice which can indicate various types of sales documents like credit or debit memos, and standard invoices, etc.",indirect,Status & Indicators,
CO Area (KOKRS),1,"US01,C001,0001","This represents the controlling area in SAP, used for cost accounting purposes, and might contain values like '1000' for a specific company code.",indirect,Status & Indicators,
Conf. error GM (AFFW_CHECK),1,"X,X,X",Indicator of any discrepancies or errors found during the confirmation of goods movements.,indirect,Status & Indicators,
Creation Ind. (ESTKZ),1,"R,R,R","Indicator that shows how a record or transaction was created, could be manually or automatically, indicated by a specific code or letter.",indirect,Status & Indicators,
Del. Type Rtns (LFRET),1,"NCCR,NCC3,NLCC","Indicator if the delivery is related to a return process, which can impact reverse logistics,  potential values: 'X' for returns, blank for standard deliveries.",indirect,Status & Indicators,
Deleted (XLOEK),1,"X,X,X","Indicator that shows if an entry has been marked for deletion (e.g., 'X' for deleted)",indirect,Status & Indicators,
Deliv. Conf.Sts (BESTA),1,"A,C,A","Delivery confirmation status, indicating the progress of delivery (e.g., 'Not confirmed', 'Partially confirmed', 'Confirmed')",indirect,Status & Indicators,
Delivery block (LIFSD),1,"None,None,None","Indicates if there is a block preventing the delivery from being executed, may contain codes signifying various reasons for the hold",indirect,Status & Indicators,
Delivery Block (LIFSK),1,"1.0,1.0,1.0","Indicates if a delivery block has been set, blocking the delivery from being executed, typically boolean values (YES/NO).",indirect,Status & Indicators,
DF client level (LVORM_MARA),1,"None,None,None",Flag that can denote if a material is marked for deletion at the client level in SAP.,indirect,Status & Indicators,
Document Status (BSTAT),1,"V,W,V","Status of the document, for example 'Posted', 'Deleted', or 'Held'.",indirect,Status & Indicators,
Ext. Delivery (LIFEX),1,"80060294.0,80060293.0,80063638.0","Records information on whether an external delivery was made, typically having a binary value (TRUE or FALSE).",indirect,Status & Indicators,
Final Invoice (EREKZ),1,"X,X,X","Indicator of a final invoice, where 'X' signifies a final invoice and is blank for provisional or interim invoices.",indirect,Status & Indicators,
Final Issue (KZEAR),1,"X,X,X","Indicator to specify that an issue is final (e.g., 'X' for final issue)",indirect,Status & Indicators,
Fixed (ZBFIX),1,"None,None,None","Indicator if a line item is flagged as fixed, meaning it should not change",indirect,Status & Indicators,
GI Movement Type (BWART_GI),1,"None,None,None","Type of goods movement (e.g., 101 for goods receipt, 601 for goods issue)",indirect,Status & Indicators,
GR Movement Type (BWART_GR),1,"None,None,None","The type of goods movement (e.g., goods receipt, goods issue), typically numerical codes.",indirect,Status & Indicators,
GR Non-Valuated (WEUNB),1,"None,None,None","A flag indicating whether the goods receipt is posted to non-valuated stock, with 'X' for non-valuated and '' or ' ' for valuated.",indirect,Status & Indicators,
GR-Based IV (WEBRE),1,"None,None,None","A flag that indicates if goods receipt is based on invoice verification - 'X' for true, '' (blank) or ' ' (space) for false.",indirect,Status & Indicators,
GR/IR Clearing ok (CLEARED),1,"X,X,X",Boolean indicator showing if the goods receipt and invoice receipt clearing is complete.,indirect,Status & Indicators,
Group (PLNNR),1,"1.0,1.0,1.0",Group represents the key that identifies the task list group that contains different task lists or routings,indirect,Status & Indicators,
Group Counter (PLNAL),1,"None,None,None","Group Counter is a numerical identifier for a routings group counter within a task list, possibly distinguishing between different versions or alternatives",indirect,Status & Indicators,
IR before GR (IR_BEFORE_GR),1,"X,X,X","Indicates if an invoice receipt (IR) was posted before a goods receipt (GR), typically a boolean value (TRUE or FALSE).",indirect,Status & Indicators,
Missing Part (XFEHL),1,"X,X,X","Indicator that shows if a part is missing (e.g., 'X' for missing)",indirect,Status & Indicators,
Missing parts (FTIND_CHECK),1,"X,X,X","Missing Parts indicates whether there are shortages in the required materials for a process, potentially a boolean value (Yes/No).",indirect,Status & Indicators,
MRP Area (BERID),1,"ZMRP1,0001,EW01","Indicates the Material Requirements Planning area, a logistical area for which material requirements are planned separately",indirect,Status & Indicators,
Multiple lines (MULTIPLE_GR_IR),1,"None,None,None","Indicator of whether a document has multiple line items for goods received or invoice received, could be a boolean value.",indirect,Status & Indicators,
Not Relevant (DNREL),1,"None,None,None",Indicator column that may flag certain entities as not relevant for specific processes or evaluations.,indirect,Status & Indicators,
Order block (AUFSD),1,"None,None,None","Indicates if there is a block on the sales order, possible values might include 'Blocked' or 'Not blocked'",indirect,Status & Indicators,
Overall Status (GBSTA),1,"A,C,A","Indicates the overall status of a document, such as 'Completed', 'In Process', or 'Cancelled'.",indirect,Status & Indicators,
Ovrl Deliv. Sts (LFGSA),1,"B,A,C","This field indicates the overall delivery status for an order, showing if it has been fully delivered, partially delivered, etc.",indirect,Status & Indicators,
OvrlDelivBlkSts (LSSTA),1,"C,B,C","Overall delivery block status that indicates whether a delivery is blocked, possible values might be 'Blocked' or 'Unblocked'",indirect,Status & Indicators,
Partial GR (PARTIAL_GR),1,"X,X,X","Indicates whether the goods receipt is complete or only a partial delivery has been received, with values such as 'Yes' for partial or 'No' for complete.",indirect,Status & Indicators,
Partial IR (PARTIAL_IR),1,"X,X,X","Indicates if the Invoice Receipt is partial, which can be 'X' for partial or blank for complete.",indirect,Status & Indicators,
Payt Terms (ZTERM),1,"2,1,2","The terms agreed upon for payment between the company and the customer or vendor, which can include specific days for payment or discount terms.",indirect,Status & Indicators,
POD status (PDSTA),1,"C,A,A","Proof of delivery status shows whether the recipient has acknowledged the receipt of goods, which impacts service level and supply chain performance",indirect,Status & Indicators,
Posting Status (RFBSK_INV),1,"None,None,None","Status of the financial document posting in the system, which can include statuses like 'Unposted', 'Posted', 'Partially Posted', etc.",indirect,Status & Indicators,
PR item exists (PR_EXISTS),1,"X,X,X","Shows whether a purchase requisition (PR) item exists as a prerequisite for the subsequent process, usually binary (YES/NO or 1/0).",indirect,Status & Indicators,
Prev. blocked (PREV_BLOCKED),1,"R,B,R","Boolean indicator showing if a transaction was previously blocked for payment, where typical values might be 'YES' or 'NO'.",indirect,Status & Indicators,
Prev. parked (PREV_PARKED),1,"X,X,X","Shows whether the transaction was previously parked (temporary saved), potential values are 'X' for true and '' (blank) for false.",indirect,Status & Indicators,
Proc.state (BANPR),1,"None,None,None","This column likely holds the processing state or status of the procurement process, such as 'pending', 'approved', or 'completed'.",indirect,Status & Indicators,
Pur. Ord. Type (BSARK),1,"None,None,None","Indicates the type of purchasing order, such as standard, subcontracting, or stock transport.",indirect,Status & Indicators,
Pymt Block (ZLSPR),1,"A,A,A","Indicator that specifies if a payment is blocked for a transaction, where values might include codes for payment stop, dispute, etc.",indirect,Status & Indicators,
Relev.for Bill. (FKREL),1,"J,I,A","Indicates whether a delivery is relevant for billing or not, a key factor in the order-to-cash process",indirect,Status & Indicators,
